股名,概念,相邻股,市场逻辑,文章链接,整理时间
鸿博股份,算力,拓维信息 汉王科技 恒久科技 众合科技 剑桥科技 拓尔思,聊天机人上线+英伟达合作+北京AI智算中心 ,,2023-03-23
易华录,算力 云服务 数字信息,铜牛信息 深桑达A 数字政通 太极股份,数据开发商 央企数字要素领军，蓝光储存空间广阔,,2023-03-23
汉王科技,AI终端业务,拓维信息 英飞拓,主要业务有文本大数据业务、笔智能交互业务、人脸及生物特征识别业务及AI终端业务。文本图像识别、自然语言处理、生物特征识别、智能视频分析、智能人机交互等人工智能产业链关键技术,,2023-03-23
中科创达,物联网方案 信创 国产操作系统,德赛西威 深信服 天融信,AI操作系统龙头,,2023-03-23
剑桥科技,光模块 GPT,万兴科技 昆仑万维,子公司超算与微软合作 ICT产品研发光模块+CPO+5G；AI带来海量算力需求，算力需求直接催动光模块翻倍股频出 ,ah9ytw92uj ahmulp0fa6,2023-03-23
万兴科技,AIGC,蓝色光标 彩讯股份,CV领域领先者，有望向多场景渗透 视频创意软件,,2023-03-24
工业富联,AI应用端 AI服务器,大华股份 天孚通信 沪电股份 剑桥科技,英伟达合作+AI服务器,29kcl0b4la,2023-03-23
浪潮信息,AI服务器,中科曙光 汉王科技 三六零 紫光股份 鸿博股份,Al服务器市占率第一+百度+数据中心。人工智能服务器领域市占率位居全球AI服务器市场第一，50%以上 浪潮具备AI平台全栈技术能力，发布有首款智算中心调度系统AIStation,,2023-03-23
科大讯飞,AI应用端,中科曙光 浪潮信息 拓尔思 汤姆猫,AI学习机+数据中心+Al辅助诊断 ,5klf3xyngw,2023-3-23
中文在线,web3.0 AIGC,捷成股份 读课文化 蓝色光标 易点天下,AlGC+Web3.0+数字藏品平台+在线教育 gpt降低写作门槛 海量中文数据 ,29n91bh2uq,2023-03-24
首都在线,AIGC应用 算力,创业黑马 宣亚国际 燧原科技,云计算平台，AIGC生态圈，大模型攻关,,2023-03-24
创业黑马,模型,蓝色光标 首都在线 易点天下,创业服务 在线教育 阿里达摩院中文模型 ,5kabpg0ql7,2023-03-24
世纪华通,数据中心,掌阅科技,数据中心 数据安全 游戏运营 汽车零部件 腾讯持股 元宇宙硬件生态投资,ffkpw06pqu,2023-03-24
川大智胜,人工智能,联络互动 返利科技 云鼎科技 二三四五,3D摄像 军工智能 新三维测量技术 语音自动识别技术 ,ffgeanj0je,2023-03-24
景嘉微,GPU AI芯片,国科微 北京君正 江丰电子 华大九天,国产GPU+图像处理+军工人,c5lkunpxk5,2023-03-23
海光信息,GPU 算力芯片,英伟达,国内处理器龙头企业,,2023-03-23
拓尔思,算法模型,万兴科技 科大讯飞 昆仑万维 大华股份,行业数据垂直应用模型 主要是行业数据壁垒+自身AI方向能力，成为行业大模型的核心 算法环节,dtmstu5pz7,2023-03-24
云从科技,算力芯片 AI技术,浪潮信息,视觉、语音、NLP等方向上都在实践类似于ChatGPT的“预训练模型+反馈调优”的技术路线 人机协同操作系统和行业解决方案,,2023-03-23
兆易创新,存储芯片,韦尔股份 卓胜微 士兰微,车规芯片 大陆存储+MCU双龙头 子公司上海思立微是国内市场领先的智能人机交互解决方案供应商 ,3xlybj3yg7,2023-03-23
江波龙,存储芯片,德明利 华大九天,大数据同步算力提升，AI需求推动市场增长,,2023-03-23
南大光电,光刻胶,彤程新材 江丰电子,公司三甲基镓产品可以作为生产氧化镓的原材料,,2023-03-24
沪电股份,PCB,深南电路 鹏鼎控股 胜宏科技 华盛新材,PCB+新能源汽车,,2023-03-23
中国卫通,6G 卫星服务,中国卫星 天银机电,电信运营商,5klf3y259k,2023-03-23
返利科技,商业服务,,电商服务+ChatGPT+数字传媒 商业服务业务 正在与ChatGPT、ERNIEBot合作,,2023-03-24
甘咨询,,,参股国资云+数据中心建设+水利+工程咨询 持有丝绸之路大数据37%的股权、丝路信息港云计算100%股权 新能源产业链主决策咨询单位,,2023-03-24
兆威机电,苹果MR,,VR瞳距调节+充电桩+行星减速器+苹果合作供应苹果MR产品,ffmbwbzebn,2023-03-24
长盈精密,苹果MR,,AR/VR+芯片+汽车零部件 电子烟业务 高压连接器BUSBAR和电芯/模组/PACK结构件业务,5kmv74xh64,2023-03-24
常山北明,,,华为鲲鹏（鸿蒙+腾讯合作+数据中心+国资云,77n0cy25nl,2023-03-24
四川长虹,,,华为鲲鹏服务器+文心一言+超清视频 子公司主营各类AI服务器和通用服务器 宣布长虹8K电视将全面体验并介入文心一言,29n91bj4n7,2023-03-24
软通动力,,,华为鸿蒙+接入GPT4+智能驾驶+软件与数字技术服务 公司拥有包括智能流程机器人在内的核心产品,ahmulp2x20,2023-03-24
特发信息,,,ChatGPT+华为合作+数据中心 高端光模块 光通信主导产业,3xn6571wwj,2023-03-24
同方股份,信创 模型,,昇腾AI服务器+数据中心+数字信息 信创业务同方计算机联合华为 具备英伟达和昇腾两条技术路线的人工智能服务器产品线 预训练大模型能力,77n0cy1sk2,2023-03-24